HID,I001,I002,I003,I004,I005,I006,I007,I008,I009,I010
60380,8,5,1,9,8,1,7,9,8,8
60381,8,9,3,10,9,5,4,4,4,1
60382,5,6,7,6,3,4,3,2,2,3
60383,9,5,2,3,4,5,10,10,10,5
60384,1,10,1,3,7,4,5,1,6,2
60385,10,7,5,3,8,9,2,7,1,1
60386,1,8,7,8,5,10,2,7,10,1
60387,2,2,2,3,3,8,1,10,2,6
60388,1,1,5,7,8,1,10,1,1,1
60389,8,9,7,9,2,9,1,4,6,1
60390,2,7,7,3,5,8,10,8,5,9
60391,9,9,9,8,2,5,9,4,9,3
60392,2,10,7,3,4,3,4,6,1,5
60393,1,6,3,10,7,7,4,6,2,3
60397,6,6,7,9,2,6,3,7,2,3
60398,2,7,4,1,9,7,7,8,1,2
60399,2,4,8,8,6,8,3,6,9,2
60400,6,8,2,5,9,2,8,7,4,8
60401,8,10,9,9,7,4,8,8,9,6
60402,2,9,8,1,8,1,5,5,3,2
60403,10,5,6,2,10,1,6,7,10,4
60460,9,8,8,5,1,10,10,4,4,8
60461,10,9,3,2,10,5,5,9,1,10
60462,2,4,7,7,8,3,4,3,2,9
60463,1,6,1,2,3,1,6,9,6,8
60464,8,1,6,8,6,6,3,4,5,7
60465,5,2,2,8,7,10,8,6,8,8
60466,3,8,9,10,1,7,2,3,3,8
60467,5,6,3,9,5,5,6,9,2,7
60468,5,3,6,5,6,10,4,3,7,4
60469,1,8,1,7,3,7,3,3,2,10
60470,4,5,9,4,2,10,5,2,5,5
60471,9,3,9,6,4,10,8,1,5,2
60472,2,1,7,3,6,8,4,9,5,8
60473,2,8,4,4,3,5,3,8,10,3
60474,2,7,9,1,4,10,3,6,4,10
60478,6,8,8,8,9,6,9,3,10,5
60479,4,10,4,8,4,4,8,10,6,2
60480,4,10,4,7,5,6,9,2,8,6
60481,5,10,6,3,9,2,10,9,8,2
60482,10,1,10,3,10,4,8,8,3,5
60483,5,1,9,9,2,7,1,7,8,7
60484,9,10,1,3,9,5,1,2,6,3
60541,9,2,7,2,5,7,1,3,5,3
60542,3,3,4,8,3,6,6,7,2,6
60543,7,7,1,6,2,2,6,9,9,2
60544,9,2,2,7,5,10,10,1,2,8
60545,5,8,4,3,6,8,10,6,7,3
60546,9,4,9,3,10,10,3,4,8,6
60547,9,1,4,6,2,6,8,8,2,8
60548,1,2,3,9,5,4,4,1,8,10
60549,6,5,7,10,2,10,7,10,3,9
60550,5,8,7,5,2,4,4,9,9,4
60551,10,2,5,9,9,10,2,1,9,10
60552,3,10,2,6,9,10,10,7,3,1
60553,2,4,10,9,3,8,5,2,5,9
60554,5,9,2,9,2,3,10,4,2,7
60555,3,4,9,10,9,4,10,2,5,7
60556,1,5,7,7,4,1,4,2,4,8
60557,5,2,8,9,4,4,1,6,5,3
60560,4,2,10,3,7,4,4,5,3,9
60561,4,7,1,3,10,9,4,3,8,9
60562,9,1,2,1,5,5,5,4,3,3
60563,2,10,2,3,6,4,5,10,4,10
60564,6,5,10,1,1,1,7,9,7,4
60565,4,8,4,9,5,8,1,8,5,3
60566,1,5,5,6,10,3,1,3,4,2
60621,2,3,7,5,3,4,5,4,10,8
60622,8,2,7,4,5,8,2,7,3,3
60623,6,8,4,3,4,4,10,8,2,7
60624,5,6,3,7,3,10,1,4,10,1
60625,2,7,3,7,4,10,1,2,10,2
60626,7,2,1,10,7,1,8,1,4,5
60627,4,1,9,1,9,1,8,8,8,10
60628,2,2,1,3,8,9,2,7,5,9
60629,5,3,7,1,6,9,5,8,7,8
60630,2,10,10,3,3,6,4,3,1,7
60631,2,10,7,3,6,2,8,3,2,8
60632,3,4,6,2,8,8,2,2,10,2
60633,3,3,4,8,5,10,9,3,9,10
60634,7,5,7,9,1,1,2,10,9,1
60635,10,10,6,8,6,5,5,5,6,3
60636,7,4,5,4,6,7,6,10,1,8
60637,7,7,7,5,1,5,1,4,10,10
60638,9,2,3,8,7,9,5,1,8,2
60640,3,7,2,4,1,1,10,5,3,5
60641,2,9,8,5,6,8,1,4,3,3
60642,2,4,2,9,6,2,7,3,4,6
60643,6,4,7,5,10,10,4,1,3,1
60644,4,5,5,9,5,3,6,5,4,2
60645,6,3,2,3,8,7,3,5,4,4
60646,9,2,1,1,3,10,7,1,1,10
60702,4,2,8,3,1,2,6,5,6,1
60703,5,6,5,5,5,9,3,7,6,4
60704,1,6,9,1,9,10,3,6,9,10
60705,2,9,10,1,1,3,3,6,2,2
60706,8,9,3,5,10,6,5,8,6,7
60707,2,5,2,5,4,7,9,7,9,3
60708,2,5,2,2,6,10,5,5,6,9
60709,9,8,8,3,9,6,10,8,4,4
60710,4,10,4,2,3,9,6,6,7,7
60711,1,3,8,10,10,10,4,7,7,7
60712,3,8,4,6,9,7,1,8,7,5
60713,2,5,10,4,7,1,4,4,4,9
60714,10,7,4,9,3,1,6,6,5,4
60715,7,4,6,2,7,4,5,1,5,8
60716,8,8,1,2,9,5,6,1,4,5
60717,1,10,3,4,10,2,1,8,4,1
60718,8,4,3,9,2,9,10,6,10,4
60719,9,4,5,9,9,1,4,3,2,7
60720,7,5,10,1,9,10,6,10,4,5
60722,9,6,6,8,6,1,3,9,10,3
60723,3,6,5,5,10,4,1,6,9,10
60724,6,9,7,10,6,9,2,1,7,2
60725,3,10,3,4,8,9,10,5,10,7
60726,6,2,7,9,1,6,4,2,8,3
60727,3,3,10,2,2,8,9,2,5,1
60783,3,10,9,1,8,8,10,3,7,10
60784,8,2,3,7,1,6,7,6,8,1
60785,1,10,10,4,10,2,6,6,3,7
60786,10,9,2,5,4,7,5,10,2,10
60787,4,7,4,8,4,7,8,2,2,6
60788,8,10,4,10,6,4,6,10,5,10
60789,3,7,2,6,3,2,5,10,1,10
60790,1,2,5,10,6,6,1,2,4,1
60791,3,6,7,10,7,1,10,5,1,3
60792,2,3,6,9,3,9,5,7,1,1
60793,8,1,6,1,2,9,7,4,1,2
60794,1,5,4,1,7,9,10,6,4,7
60795,8,3,6,7,9,5,10,3,7,4
60796,7,4,2,8,9,3,1,3,2,7
60797,7,7,7,4,8,10,3,8,2,1
60798,7,9,9,3,10,9,3,7,3,1
60799,9,6,1,9,3,7,6,9,7,2
60800,9,10,7,10,2,3,8,8,3,7
60801,6,4,10,5,4,4,4,3,8,3
60802,7,3,8,5,6,5,9,3,7,7
60803,1,3,9,1,7,3,1,6,4,1
60804,10,4,10,1,10,9,1,1,1,4
60805,1,10,3,3,10,8,2,10,5,2
60806,5,5,1,1,6,1,3,10,2,5
60807,2,7,5,6,6,3,8,6,6,6
60808,4,2,5,3,10,9,10,4,3,8
60809,2,3,5,6,4,6,3,7,5,8
60863,4,1,7,7,7,8,10,2,8,8
60864,4,8,8,8,2,8,6,7,1,7
60865,1,7,10,6,7,3,6,10,3,5
60866,8,6,8,5,7,9,1,8,6,3
60867,4,1,7,10,7,3,10,5,2,10
60868,6,9,5,7,5,4,6,7,2,5
60869,4,3,6,4,3,10,1,9,4,1
60870,3,3,8,6,10,2,2,7,1,8
60871,6,2,8,2,3,2,8,1,9,4
60872,10,9,8,4,2,4,9,5,2,7
60873,5,2,9,8,6,7,7,5,4,2
60874,5,4,9,6,4,4,7,8,6,6
60875,1,8,2,5,7,9,3,8,4,9
60876,3,6,5,5,1,8,8,8,4,7
60877,6,10,3,4,8,7,5,6,3,3
60878,7,8,9,9,2,6,8,6,9,9
60879,2,4,10,2,4,2,4,3,10,8
60880,1,7,6,1,3,8,1,5,7,9
60881,2,7,6,5,8,1,4,6,8,9
60882,3,8,4,8,9,9,7,10,4,5
60883,4,2,5,8,7,10,8,3,5,6
60884,5,6,9,2,6,7,8,10,6,1
60885,2,10,3,7,5,4,8,2,4,8
60886,3,7,3,7,7,1,1,5,5,4
60887,7,4,8,4,8,9,2,1,3,2
60888,10,4,6,9,5,8,7,2,3,5
60889,4,7,5,3,6,5,2,4,5,2
60944,2,2,6,5,1,1,6,4,4,1
60945,6,10,2,3,10,6,5,1,5,10
60946,3,3,6,6,7,1,4,7,2,5
60947,1,10,8,6,1,9,8,10,3,10
60948,1,2,3,2,1,8,5,6,10,4
60949,5,5,7,1,1,4,5,5,9,10
60950,1,7,5,9,5,3,7,4,2,2
60951,7,6,8,5,5,6,1,8,9,7
60952,6,9,8,8,7,9,9,8,3,7
60953,9,7,2,4,6,7,5,1,10,2
60954,5,4,2,5,5,3,7,10,1,4
60955,2,6,7,1,7,3,3,7,5,1
60956,10,9,6,1,9,7,6,3,10,8
60957,5,8,3,10,4,3,9,6,4,8
60958,5,1,4,2,7,4,2,5,8,1
60959,2,10,5,6,6,3,6,3,3,3
60960,8,9,8,3,6,6,9,1,8,3
60961,1,2,1,2,10,1,7,10,10,8
60962,2,9,3,2,7,2,4,2,3,10
60963,5,10,6,2,9,5,6,3,1,2
60964,2,10,3,7,1,5,2,7,10,2
60965,1,6,3,6,5,2,4,1,10,1
60966,9,2,9,3,3,4,4,3,9,5
60967,4,3,1,1,5,9,8,4,9,4
60968,8,5,3,5,1,5,3,5,10,4
60969,6,1,2,7,1,2,1,8,2,5
60970,1,9,3,7,2,7,8,10,8,3
60971,1,9,8,8,2,6,5,8,3,7
61025,3,7,6,8,3,2,3,7,1,4
61026,7,3,9,4,3,8,6,9,9,9
61027,10,1,5,10,9,3,9,6,6,6
61028,8,3,2,9,10,10,4,1,3,10
61029,10,7,4,7,10,6,10,8,8,10
61030,3,6,9,2,5,9,7,6,2,1
61031,10,10,1,4,1,4,4,8,4,5
61032,7,6,1,6,3,6,9,8,1,2
61033,8,6,6,1,2,9,4,9,3,4
61034,3,2,6,2,5,6,4,3,9,5
61035,3,2,10,7,3,2,10,1,5,7
61036,4,6,1,6,5,9,10,2,8,10
61037,10,10,9,3,3,5,3,5,7,6
61038,5,3,1,3,5,4,7,5,9,3
61039,2,3,10,7,1,2,9,1,2,5
61040,3,3,10,3,10,7,4,2,5,4
61041,6,9,3,2,6,8,10,10,10,2
61042,6,2,8,5,8,2,9,5,6,9
61043,4,5,7,9,8,1,4,9,2,4
61044,7,4,2,1,8,4,2,2,4,1
61045,5,3,4,2,7,5,2,10,7,5
61046,8,5,10,9,1,8,6,5,10,9
61047,9,6,6,9,4,9,3,3,4,6
61048,1,5,6,9,8,5,9,10,10,9
61049,2,1,8,4,1,8,2,6,2,10
61050,8,8,4,2,6,3,4,3,1,5
61051,9,5,3,4,1,9,5,8,7,7
61052,8,5,3,9,5,5,9,5,1,3
61105,9,7,6,8,6,6,1,5,10,6
61106,3,3,5,3,9,5,6,5,8,1
61107,9,4,1,3,6,9,5,10,1,10
61108,5,3,4,1,1,9,3,3,10,4
61109,5,5,2,5,9,2,5,10,4,9
61110,7,4,6,7,10,10,10,10,9,2
61111,4,1,8,8,9,8,9,4,6,6
61112,4,4,10,3,2,1,2,7,3,3
61113,5,5,3,9,3,5,1,10,7,10
61114,10,10,6,6,9,4,6,8,1,9
61115,2,5,3,5,5,6,7,3,2,8
61116,1,1,7,3,9,1,1,8,7,9
61117,6,9,8,1,4,1,10,1,5,3
61118,7,6,4,3,6,5,5,5,4,7
61119,3,10,7,8,7,6,2,4,5,10
61120,8,8,10,8,2,1,4,2,10,8
61121,4,7,2,6,6,1,10,9,8,5
61122,4,3,7,4,4,6,1,10,1,9
61123,2,5,2,4,5,3,7,4,5,3
61124,1,3,5,4,1,9,10,4,8,3
61125,7,1,7,3,8,6,8,5,10,3
61126,4,3,9,4,9,8,6,7,9,1
61127,4,9,2,2,9,10,9,1,5,6
61128,7,1,9,4,10,1,3,8,5,6
61129,3,1,6,10,8,9,2,4,10,5
61130,8,3,10,9,3,3,6,1,3,8
61131,8,3,3,3,3,9,3,6,10,6
61132,4,4,1,6,1,10,1,8,4,5
61187,2,7,9,6,1,2,4,10,6,7
61188,1,4,9,10,10,8,3,6,6,4
61189,10,8,9,2,10,1,6,7,9,4
61190,2,2,9,10,5,8,2,9,5,1
61191,1,2,10,10,2,6,9,5,9,2
61192,3,2,6,5,3,10,6,5,1,10
61193,6,7,6,1,1,9,10,9,5,8
61194,8,1,1,10,10,5,1,5,7,6
61195,4,7,7,4,4,8,2,8,10,5
61196,4,10,6,3,5,3,2,6,10,6
61197,4,9,4,10,9,8,5,1,6,10
61198,9,5,2,9,10,6,5,6,8,10
61199,3,2,4,2,3,5,10,6,7,10
61200,3,4,1,5,4,10,4,6,5,9
61201,7,5,3,2,2,2,9,5,4,4
61202,8,8,1,7,5,8,10,9,9,2
61203,9,7,8,8,2,7,5,6,9,8
61204,6,4,7,4,3,10,2,2,5,10
61205,4,5,6,5,9,6,10,6,2,6
61206,1,2,3,5,5,8,7,1,3,3
61207,2,7,7,5,4,9,9,2,5,7
61208,6,9,2,4,10,3,6,10,7,4
61209,4,5,8,5,9,5,4,3,6,9
61210,6,9,8,9,5,1,6,3,10,6
61211,10,9,6,1,9,10,6,1,9,3
61212,1,4,6,7,5,10,9,9,10,5
61213,4,5,4,8,5,7,7,10,10,9
61268,3,7,7,2,5,6,10,9,5,8
61269,6,8,9,5,7,6,7,5,6,5
61270,6,7,1,2,5,6,4,8,7,3
61271,5,2,5,10,1,7,7,6,2,2
61272,7,2,6,3,4,7,5,1,3,7
61273,5,2,9,4,7,1,9,9,3,7
61274,6,2,3,4,4,10,2,4,10,5
61275,1,9,5,7,10,4,7,8,7,3
61276,2,8,9,2,9,8,8,9,1,3
61277,6,5,7,4,8,2,9,5,8,4
61278,3,10,7,8,9,1,7,4,6,10
61279,7,10,3,9,9,3,10,2,8,6
61280,4,6,2,3,1,2,8,7,6,3
61281,9,8,2,10,8,4,8,6,10,9
61282,10,5,1,5,7,3,10,10,1,8
61283,1,10,6,8,6,10,8,2,9,6
61284,6,6,9,5,7,10,8,7,6,3
61285,4,10,10,5,2,5,10,1,5,5
61286,6,9,4,4,5,10,1,6,9,2
61287,4,10,6,8,5,1,7,3,4,9
61288,10,9,8,5,3,9,2,4,3,9
61289,3,3,5,9,5,7,1,3,2,4
61290,9,9,2,8,10,4,8,4,5,1
61291,7,9,9,3,7,5,3,10,5,1
61292,10,7,8,1,3,2,4,5,1,1
61293,5,1,2,2,10,7,6,2,7,1
61294,2,7,5,8,10,4,5,1,10,1
61348,7,7,8,8,4,1,5,9,6,10
61349,4,4,1,6,8,4,6,5,8,2
61350,2,5,5,1,3,10,2,9,8,4
61351,1,3,4,8,9,3,1,4,10,5
61352,4,5,5,9,3,8,5,9,1,9
61353,9,2,8,2,6,8,6,4,2,9
61354,3,2,4,2,9,3,1,2,6,2
61355,9,1,8,6,9,6,1,8,5,7
61356,5,7,7,1,10,2,3,7,9,9
61357,9,1,4,9,5,8,9,2,3,10
61358,10,5,9,1,9,6,9,5,1,10
61359,1,4,3,6,9,5,8,9,2,6
61360,8,4,3,9,4,4,3,1,3,10
61361,3,4,1,10,4,8,6,4,5,3
61362,6,6,9,10,10,10,5,5,4,4
61363,5,2,3,5,3,4,10,3,10,2
61364,2,1,9,4,8,9,4,3,9,10
61365,8,10,3,3,10,6,9,7,8,5
61366,7,4,5,9,7,4,10,1,10,2
61367,9,7,2,2,7,5,4,3,8,3
61368,1,9,4,4,1,6,2,8,10,4
61369,9,4,8,3,9,2,3,7,6,6
61370,6,5,5,1,3,8,10,9,4,9
61371,5,1,2,8,4,10,9,1,9,10
61372,1,4,3,9,2,5,7,5,8,7
61373,10,8,4,8,3,7,10,2,8,3
61374,2,4,2,10,5,5,8,5,4,4
61375,5,10,5,8,1,10,8,10,10,2
61430,3,1,2,10,4,1,3,8,10,9
61431,9,7,3,6,9,10,6,9,8,6
61432,8,3,8,10,10,5,10,3,5,7
61433,4,9,3,6,10,3,1,2,9,4
61434,5,8,6,9,8,10,6,6,3,8
61435,3,9,3,7,1,7,8,9,6,3
61436,4,6,8,7,6,3,1,3,9,9
61437,5,3,2,5,8,4,3,4,4,2
61438,4,10,7,5,8,9,6,2,1,7
61439,4,2,8,10,7,9,10,1,9,9
61440,3,7,2,3,1,4,10,8,7,10
61441,4,9,1,10,2,3,2,1,10,6
61442,8,10,8,4,2,9,3,5,3,3
61443,5,5,7,6,10,10,3,2,8,7
61444,1,3,3,3,10,2,4,10,4,4
61445,1,1,7,4,3,10,10,6,9,3
61446,3,8,5,6,2,7,1,6,8,2
61447,1,6,4,1,6,5,7,4,2,3
61448,3,4,3,5,7,1,6,6,4,3
61449,3,7,2,5,10,10,2,6,5,10
61450,1,7,4,6,2,6,4,8,5,10
61451,9,10,1,5,9,10,9,7,2,10
61452,7,8,5,10,10,2,2,7,6,3
61453,9,2,4,10,3,4,9,4,7,7
61454,5,4,10,10,5,8,3,5,2,2
61455,6,3,7,4,8,1,8,5,7,10
61456,4,1,4,1,6,7,9,10,4,2
61511,10,3,4,10,2,6,4,1,3,8
61512,9,6,2,4,5,4,9,4,6,3
61513,1,8,2,4,9,9,7,3,8,10
61514,4,4,6,4,10,6,10,9,10,10
61515,7,7,2,1,6,7,2,3,9,3
61516,1,1,3,3,1,8,7,7,4,1
61517,4,5,4,8,8,4,9,10,2,10
61518,8,10,7,10,7,4,7,9,8,3
61519,4,3,1,10,5,4,8,8,4,6
61520,6,7,8,1,10,4,2,1,2,3
61521,5,10,1,5,2,9,8,8,2,6
61522,10,7,5,1,7,10,8,5,2,7
61523,6,3,10,1,1,1,5,10,3,9
61524,10,7,1,9,6,6,8,7,8,7
61525,1,3,1,8,8,5,4,2,9,5
61526,3,7,1,4,1,4,3,4,2,6
61527,8,6,8,7,6,2,7,2,5,6
61528,8,9,5,10,7,10,8,6,3,8
61529,3,2,6,3,8,5,6,2,3,7
61530,3,10,1,4,7,9,5,2,3,5
61531,7,4,1,10,6,5,8,8,9,5
61532,5,6,6,5,3,3,3,4,7,4
61533,6,9,9,2,6,7,10,3,7,7
61534,6,6,6,10,5,10,10,6,10,7
61535,5,2,4,10,9,1,8,1,1,8
61536,7,7,8,5,3,2,6,2,4,6
61537,4,10,6,10,10,5,4,8,1,5
61592,5,10,10,3,10,2,10,1,2,8
61593,2,10,10,2,6,10,4,5,7,9
61594,1,7,4,1,7,6,1,6,2,9
61595,10,8,8,3,2,5,10,2,8,9
61596,9,9,7,3,5,3,2,8,7,1
61597,7,9,2,3,7,3,3,8,4,2
61598,9,2,8,1,9,10,4,1,1,1
61599,1,8,7,6,6,5,6,9,2,4
61600,4,3,6,3,7,10,9,6,1,1
61601,2,4,9,5,7,9,3,2,1,4
61602,10,7,5,1,7,4,7,10,1,2
61603,3,8,8,10,8,10,7,8,5,2
61604,9,7,10,8,5,1,7,7,5,9
61605,6,1,10,2,7,10,5,5,9,7
61606,9,4,1,7,10,10,4,3,7,7
61607,2,3,7,6,4,6,6,6,3,9
61608,6,2,6,5,3,8,9,8,10,1
61609,6,7,2,8,2,10,3,3,5,6
61610,3,3,2,9,5,2,5,1,8,9
61611,1,2,7,5,3,4,5,8,8,1
61612,4,6,8,8,7,2,7,4,1,7
61613,6,6,9,2,10,6,8,1,7,2
61614,3,9,3,4,5,3,6,10,6,1
61615,3,1,1,4,5,7,7,1,4,7
61616,6,7,5,9,4,5,5,2,2,2
61617,1,8,9,8,10,2,6,9,5,2
61673,10,7,10,3,1,2,3,9,1,6
61674,10,5,3,7,8,7,8,4,3,4
61675,2,8,3,8,1,8,9,4,8,5
