HID,I001,I002,I003,I004,I005,I006,I007,I008,I009,I010
60564,4,7,4,1,8,10,4,1,7,1
60565,4,7,4,1,8,10,4,1,7,1
60566,4,7,4,1,8,10,4,1,7,1
60621,5,10,5,2,1,1,10,3,5,2
60622,5,10,5,2,1,1,7,3,5,2
60623,5,10,5,2,1,1,7,3,6,2
60624,5,10,5,1,1,1,7,3,6,2
60625,5,10,5,1,1,10,7,3,6,1
60626,5,10,5,1,1,10,7,3,6,1
60627,5,10,5,1,8,10,7,2,6,1
60628,5,10,5,1,8,10,7,2,6,1
60629,5,10,5,1,8,10,7,2,6,1
60630,5,10,5,1,8,10,7,2,6,1
60631,5,10,5,1,8,10,7,2,6,1
60632,5,10,5,1,8,10,7,2,7,1
60633,5,10,5,1,8,10,7,2,7,1
60634,5,10,5,1,8,10,7,2,7,1
60635,5,7,5,1,8,10,7,2,7,1
60636,5,7,5,1,8,10,4,2,7,1
60637,5,7,5,1,8,10,4,2,7,1
60638,5,7,5,1,8,10,4,2,7,1
60640,5,7,4,1,8,10,4,2,7,1
60641,5,7,4,1,8,10,4,2,7,1
60642,5,7,4,1,8,10,4,2,7,1
60643,4,7,4,1,8,10,4,1,7,1
60644,4,7,4,1,8,10,4,1,7,1
60645,4,7,4,1,8,10,4,1,7,1
60646,4,7,4,1,8,10,4,1,7,1
60702,5,10,5,2,1,1,10,3,5,2
60703,5,10,5,2,1,1,10,3,5,2
60704,5,10,5,2,1,1,7,3,5,2
60705,5,10,5,1,1,1,7,3,6,2
60706,5,10,5,1,1,1,7,3,6,2
60707,5,10,5,1,1,10,7,3,6,1
60708,5,10,5,1,8,10,7,3,6,1
60709,5,10,5,1,8,10,7,2,6,1
60710,5,10,5,1,8,10,7,2,6,1
60711,5,10,5,1,8,10,7,2,6,1
60712,5,10,5,1,8,10,7,2,6,1
60713,5,10,5,1,8,10,7,2,7,1
60714,5,10,5,1,8,10,7,2,7,1
60715,5,10,5,1,8,10,7,2,7,1
60716,5,10,5,1,8,10,7,2,7,1
60717,5,7,5,1,8,10,4,2,7,1
60718,5,7,5,1,8,10,4,2,7,1
60719,5,7,5,1,8,10,4,2,7,1
60720,5,7,4,1,8,10,4,2,7,1
60722,5,7,4,1,8,10,4,2,7,1
60723,4,7,4,1,8,10,4,2,7,1
60724,4,7,4,1,8,10,4,1,7,1
60725,4,7,4,1,8,10,4,1,7,1
60726,4,7,4,1,8,10,4,1,7,1
60727,4,7,4,1,8,10,4,1,7,1
60783,5,10,5,2,1,1,10,4,5,2
60784,5,10,5,2,1,1,10,3,5,2
60785,5,10,5,2,1,1,7,3,5,2
60786,5,10,5,2,1,1,7,3,5,2
60787,5,10,5,1,1,1,7,3,6,2
60788,5,10,5,1,1,1,7,3,6,1
60789,5,10,5,1,1,10,7,3,6,1
60790,5,10,5,1,8,10,7,2,6,1
60791,5,10,5,1,8,10,7,2,6,1
60792,5,10,5,1,8,10,7,2,6,1
60793,5,10,5,1,8,10,7,2,6,1
60794,5,10,5,1,8,10,7,2,6,1
60795,5,10,5,1,8,10,7,2,7,1
60796,5,10,5,1,8,10,7,2,7,1
60797,5,10,5,1,8,10,7,2,7,1
60798,5,7,5,1,8,10,7,2,7,1
60799,5,7,5,1,8,10,4,2,7,1
60800,5,7,5,1,8,10,4,2,7,1
60801,5,7,4,1,8,10,4,2,7,1
60802,5,7,4,1,8,10,4,2,7,1
60803,5,7,4,1,8,10,4,2,7,1
60804,4,7,4,1,8,10,4,2,7,1
60805,4,7,4,1,8,10,4,2,7,1
60806,4,7,4,1,8,10,4,1,7,1
60807,4,7,4,1,8,10,4,1,7,1
60808,4,7,4,1,8,10,4,1,7,1
60809,4,7,4,1,8,10,4,1,7,1
60863,5,10,5,2,1,1,10,4,5,2
60864,5,10,5,2,1,1,10,3,5,2
60865,5,10,5,2,1,1,10,3,5,2
60866,5,10,5,2,1,1,7,3,5,2
60867,5,10,5,1,1,1,7,3,6,2
60868,5,10,5,1,1,1,7,3,6,2
60869,5,10,5,1,1,10,7,3,6,1
60870,5,10,5,1,1,10,7,3,6,1
60871,5,10,5,1,8,10,7,2,6,1
60872,5,10,5,1,8,10,7,2,6,1
60873,5,10,5,1,8,10,7,2,6,1
60874,5,10,5,1,8,10,7,2,6,1
60875,5,10,5,1,8,10,7,2,7,1
60876,5,10,5,1,8,10,7,2,7,1
60877,5,10,5,1,8,10,7,2,7,1
60878,5,7,5,1,8,10,7,2,7,1
60879,5,7,5,1,8,10,7,2,7,1
60880,5,7,5,1,8,10,4,2,7,1
60881,5,7,4,1,8,10,4,2,7,1
60882,5,7,4,1,8,10,4,2,7,1
60883,5,7,4,1,8,10,4,2,7,1
60884,4,7,4,1,8,10,4,2,7,1
60885,4,7,4,1,8,10,4,2,7,1
60886,4,7,4,1,8,10,4,1,7,1
60887,4,7,4,1,8,10,4,1,7,1
60888,4,7,4,1,8,10,4,1,7,1
60889,4,7,4,1,8,10,4,1,7,1
60944,5,10,5,2,1,1,10,4,5,2
60945,5,10,5,2,1,1,10,4,5,2
60946,5,10,5,2,1,1,10,3,5,2
60947,5,10,5,2,1,1,10,3,5,2
60948,5,10,5,2,1,1,7,3,5,2
60949,5,10,5,1,1,1,7,3,6,2
60950,5,10,5,1,1,1,7,3,6,2
60951,5,10,5,1,1,10,7,3,6,1
60952,5,10,5,1,8,10,7,2,6,1
60953,5,10,5,1,8,10,7,2,6,1
60954,5,10,5,1,8,10,7,2,6,1
60955,5,10,5,1,8,10,7,2,6,1
60956,5,10,5,1,8,10,7,2,6,1
60957,5,10,5,1,8,10,7,2,7,1
60958,5,10,5,1,8,10,7,2,7,1
60959,5,10,5,1,8,10,7,2,7,1
60960,5,7,5,1,8,10,7,2,7,1
60961,5,7,5,1,8,10,4,2,7,1
60962,5,7,4,1,8,10,4,2,7,1
60963,5,7,4,1,8,10,4,2,7,1
60964,5,7,4,1,8,10,4,2,7,1
60965,4,7,4,1,8,10,4,2,7,1
60966,4,7,4,1,8,10,4,2,7,1
60967,4,7,4,1,8,10,4,2,7,1
60968,4,7,4,1,8,10,4,1,7,1
60969,4,7,4,1,8,10,4,1,7,1
60970,4,7,4,1,8,10,4,1,7,1
60971,4,7,4,1,8,10,4,1,7,1
61025,5,10,5,2,1,1,10,4,5,2
61026,5,10,5,2,1,1,10,4,5,2
61027,5,10,5,2,1,1,10,3,5,2
61028,5,10,5,2,1,1,10,3,5,2
61029,5,10,5,2,1,1,7,3,5,2
61030,5,10,5,1,1,1,7,3,6,2
61031,5,10,5,1,1,1,7,3,6,2
61032,5,10,5,1,1,1,7,3,6,2
61033,5,10,5,1,1,10,7,3,6,1
61034,5,10,5,1,8,10,7,2,6,1
61035,5,10,5,1,8,10,7,2,6,1
61036,5,10,5,1,8,10,7,2,6,1
61037,5,10,5,1,8,10,7,2,6,1
61038,5,10,5,1,8,10,7,2,6,1
61039,5,10,5,1,8,10,7,2,7,1
61040,5,10,5,1,8,10,7,2,7,1
61041,5,7,5,1,8,10,7,2,7,1
61042,5,7,5,1,8,10,7,2,7,1
61043,5,7,4,1,8,10,4,2,7,1
61044,5,7,4,1,8,10,4,2,7,1
61045,4,7,4,1,8,10,4,2,7,1
61046,4,7,4,1,8,10,4,2,7,1
61047,4,7,4,1,8,10,4,2,7,1
61048,4,7,4,1,8,10,4,2,7,1
61049,4,7,4,1,8,10,4,1,7,1
61050,4,7,4,1,8,10,4,1,7,1
61051,4,7,4,1,8,10,4,1,7,1
61052,4,7,4,1,8,10,4,1,7,1
61105,5,10,5,2,1,1,10,4,5,2
61106,5,10,5,2,1,1,10,4,5,2
61107,5,10,5,2,1,1,10,4,5,2
61108,5,10,5,2,1,1,10,3,5,2
61109,5,10,5,2,1,1,10,3,5,2
61110,5,10,5,2,1,1,7,3,5,2
61111,5,10,5,1,1,1,7,3,6,2
61112,5,10,5,1,1,1,7,3,6,2
61113,5,10,5,1,1,1,7,3,6,2
61114,5,10,5,1,1,10,7,2,6,1
61115,5,10,5,1,8,10,7,2,6,1
61116,5,10,5,1,8,10,7,2,6,1
61117,5,10,5,1,8,10,7,2,6,1
61118,5,10,5,1,8,10,7,2,6,1
61119,5,10,5,1,8,10,7,2,7,1
61120,5,10,5,1,8,10,7,2,7,1
61121,5,10,5,1,8,10,7,2,7,1
61122,5,7,5,1,8,10,7,2,7,1
61123,5,7,4,1,8,10,7,2,7,1
61124,5,7,4,1,8,10,4,2,7,1
61125,4,7,4,1,8,10,4,2,7,1
61126,4,7,4,1,8,10,4,2,7,1
61127,4,7,4,1,8,10,4,2,7,1
61128,4,7,4,1,8,10,4,2,7,1
61129,4,7,4,1,8,10,4,1,7,1
61130,4,7,4,1,8,10,4,1,7,1
61131,4,7,4,1,8,10,4,1,7,1
61132,4,7,4,1,8,10,4,1,7,1
61187,5,10,5,2,1,1,10,4,5,2
61188,5,10,5,2,1,1,10,4,5,2
61189,5,10,5,2,1,1,10,3,5,2
61190,5,10,5,2,1,1,10,3,5,2
61191,5,10,5,2,1,1,10,3,5,2
61192,5,10,5,1,1,1,7,3,5,2
61193,5,10,5,1,1,1,7,3,6,2
61194,5,10,5,1,1,1,7,3,6,2
61195,5,10,5,1,1,10,7,2,6,2
61196,5,10,5,1,1,10,7,2,6,1
61197,5,10,5,1,8,10,7,2,6,1
61198,5,10,5,1,8,10,7,2,6,1
61199,5,10,5,1,8,10,7,2,6,1
61200,5,10,5,1,8,10,7,2,6,1
61201,5,10,5,1,8,10,7,2,7,1
61202,5,10,5,1,8,10,7,2,7,1
61203,5,7,5,1,8,10,7,2,7,1
61204,5,7,4,1,8,10,7,2,7,1
61205,5,7,4,1,8,10,4,2,7,1
61206,4,7,4,1,8,10,4,2,7,1
61207,4,7,4,1,8,10,4,2,7,1
61208,4,7,4,1,8,10,4,2,7,1
61209,4,7,4,1,8,10,4,2,7,1
61210,4,7,4,1,8,10,4,2,7,1
61211,4,7,4,1,8,10,4,1,7,1
61212,4,7,4,1,8,10,4,1,7,1
61213,4,7,4,1,8,10,4,1,7,1
61268,5,10,5,2,1,1,10,4,5,2
61269,5,10,5,2,1,1,10,4,5,2
61270,5,10,5,2,1,1,10,3,5,2
61271,5,10,5,2,1,1,10,3,5,2
61272,5,10,5,2,1,1,10,3,5,2
61273,5,10,5,2,1,1,10,3,5,2
61274,5,10,5,1,1,1,7,3,6,2
61275,5,10,5,1,1,1,7,3,6,2
61276,5,10,5,1,1,1,7,3,6,2
61277,5,10,5,1,1,10,7,2,6,2
61278,5,10,5,1,8,10,7,2,6,1
61279,5,10,5,1,8,10,7,2,6,1
61280,5,10,5,1,8,10,7,2,6,1
61281,5,10,5,1,8,10,7,2,6,1
61282,5,10,5,1,8,10,7,2,7,1
61283,5,10,5,1,8,10,7,2,7,1
61284,5,10,5,1,8,10,7,2,7,1
61285,5,7,4,1,8,10,7,2,7,1
61286,5,7,4,5,8,10,7,2,7,1
61287,4,7,4,1,8,10,4,2,7,1
61288,4,7,4,1,8,10,4,2,7,1
61289,4,7,4,1,8,10,4,2,7,1
61290,4,7,4,1,8,10,4,2,7,1
61291,4,7,4,1,8,10,4,2,7,1
61292,4,7,4,1,8,10,4,1,7,1
61293,4,7,4,1,8,10,4,1,7,1
61294,4,7,4,1,8,10,4,1,7,1
61348,5,10,5,2,1,1,10,4,5,2
61349,5,10,5,2,1,1,10,4,5,2
61350,5,10,5,2,1,1,10,4,5,2
61351,5,10,5,2,1,1,10,3,5,2
61352,5,10,5,2,1,1,10,3,5,2
61353,5,10,5,2,1,1,10,3,5,2
61354,5,10,5,1,1,1,7,3,5,2
61355,5,10,5,1,1,1,7,3,6,2
61356,5,10,5,1,1,1,7,3,6,2
61357,5,10,5,1,1,1,7,2,6,2
61358,5,10,5,1,1,10,7,2,6,2
61359,5,10,5,1,8,10,7,2,6,1
61360,5,10,5,1,8,10,7,2,6,1
61361,5,10,5,1,8,10,7,2,6,1
61362,5,10,5,1,8,10,7,2,6,1
61363,5,10,5,1,8,10,7,2,7,1
61364,5,10,5,1,8,10,7,2,7,1
61365,5,7,4,1,8,10,7,2,7,1
61366,5,7,4,5,8,10,7,2,7,1
61367,4,7,4,5,8,10,7,2,7,1
61368,4,7,4,5,8,10,4,2,7,1
61369,4,7,4,5,8,10,4,2,7,1
61370,4,7,4,1,8,10,4,2,7,1
61371,4,7,4,1,8,10,4,2,7,1
61372,4,7,4,1,8,10,4,2,7,1
61373,4,7,4,1,8,10,4,1,7,1
61374,4,7,4,1,8,10,4,1,7,1
61375,4,7,4,1,8,10,4,1,7,1
61430,5,10,5,2,1,1,10,4,5,2
61431,5,10,5,2,1,1,10,4,5,2
61432,5,10,5,2,1,1,10,3,5,2
61433,5,10,5,2,1,1,10,3,5,2
61434,5,10,5,2,1,1,10,3,5,2
61435,5,10,5,1,1,1,10,3,5,2
61436,5,10,5,1,1,1,7,3,6,2
61437,5,10,5,1,1,1,7,3,6,2
61438,5,10,5,1,1,1,7,3,6,2
61439,5,10,5,1,1,1,7,2,6,2
61440,5,10,5,1,1,10,7,2,6,2
61441,5,10,5,1,8,10,7,2,6,1
61442,5,10,5,1,8,10,7,2,6,1
61443,5,10,5,1,8,10,7,2,6,1
61444,5,10,5,1,8,10,7,2,6,1
61445,5,10,5,1,8,10,7,2,7,1
61446,5,7,5,1,8,10,7,2,7,1
61447,5,7,4,1,8,10,7,2,7,1
61448,4,7,4,5,8,10,7,2,7,1
61449,4,7,4,5,8,10,4,2,7,1
61450,4,7,4,5,8,10,4,2,7,1
61451,4,7,4,5,8,10,4,2,7,1
61452,4,7,4,5,8,10,4,2,7,1
61453,4,7,4,5,8,10,4,2,7,1
61454,4,7,4,5,8,10,4,1,7,1
61455,4,7,4,1,8,10,4,1,7,1
61456,4,7,4,1,8,10,4,1,7,1
61511,5,10,5,2,1,1,10,4,5,2
61512,5,10,5,2,1,1,10,4,5,2
61513,5,10,5,2,1,1,10,4,5,2
61514,5,10,5,2,1,1,10,3,5,2
61515,5,10,5,2,1,1,10,3,5,2
61516,5,10,5,2,1,1,10,3,5,2
61517,5,10,5,1,1,1,10,3,5,2
61518,5,10,5,1,1,1,7,3,6,2
61519,5,10,5,1,1,1,7,3,6,2
61520,5,10,5,1,1,1,7,2,6,2
61521,5,10,5,1,1,1,7,2,6,2
61522,5,10,5,1,1,10,7,2,6,2
61523,5,10,5,1,8,10,7,2,6,1
61524,5,10,5,1,8,10,7,2,6,1
61525,5,10,5,1,8,10,7,2,6,1
61526,5,10,5,1,8,10,7,2,7,1
61527,5,10,5,1,8,10,7,2,7,1
61528,5,7,4,1,8,10,7,2,7,1
61529,4,7,4,5,8,10,7,2,7,1
61530,4,7,4,5,8,10,7,2,7,1
61531,4,7,4,5,8,10,4,2,7,1
61532,4,7,4,5,8,10,4,2,7,1
61533,4,7,4,5,8,10,4,2,7,1
61534,4,7,4,5,8,10,4,2,7,1
61535,4,7,4,5,8,10,4,1,7,1
61536,4,7,4,5,8,10,4,1,7,1
61537,4,7,4,5,8,10,4,1,7,1
61592,5,10,5,2,1,1,10,4,5,2
61593,5,10,5,2,1,1,10,4,5,2
61594,5,10,5,2,1,1,10,3,5,2
61595,5,10,5,2,1,1,10,3,5,2
61596,5,10,5,2,1,1,10,3,5,2
61597,5,10,5,1,1,1,10,3,5,2
61598,5,10,5,1,1,1,7,3,5,2
61599,5,10,5,1,1,1,7,3,6,2
61600,5,10,5,1,1,1,7,3,6,2
61601,5,10,5,1,1,1,7,2,6,2
61602,5,10,5,1,1,10,7,2,6,2
61603,5,10,5,1,8,10,7,2,6,2
61604,5,10,5,1,8,10,7,2,6,1
61605,5,10,5,1,8,10,7,2,6,1
61606,5,10,5,1,8,10,7,2,6,1
61607,5,10,5,1,8,10,7,2,7,1
61608,5,7,4,1,8,10,7,2,7,1
61609,4,7,4,1,8,10,7,2,7,1
61610,4,7,4,5,8,10,7,2,7,1
61611,4,7,4,5,8,10,7,2,7,1
61612,4,7,4,5,8,10,4,2,7,1
61613,4,7,4,5,8,10,4,2,7,1
61614,4,7,4,5,8,10,4,2,7,1
61615,4,7,4,5,8,10,4,2,7,1
61616,4,7,4,5,8,10,4,1,7,1
61617,4,7,4,5,8,10,4,1,7,1
61673,5,10,5,2,1,1,10,4,9,2
61674,5,10,5,2,1,1,10,4,5,2
61675,5,10,5,2,1,1,10,4,5,2
